cid,재출현연도수,지정횟수,최초연도,최종연도,누적사고,누적사상,누적사망,누적중상,위도,경도,지점명,시도,시군구,시설유형,재출현,지속성,PRI,RPI_사망기준
5941,14,32,2013,2026,234,294,26,178,34.740728868742316,127.72996672301359,전남광주통합특별시 여수시 교동(여객선터미널입구교차로 부근),전남광주통합특별시,여수시,역·터미널,True,1.0,294.0,26.0
2274,14,30,2013,2026,288,293,9,196,37.5799997392885,127.04309885871236,서울 동대문구 제기동(청량리전통시장 부근),서울특별시,동대문구,전통시장,True,1.0,293.0,9.0
3506,14,35,2013,2026,206,211,11,164,35.095980670178484,129.02626033217706,부산 서구 충무동3가(충무동골목시장 부근),부산광역시,서구,전통시장,True,1.0,211.0,11.0
670,14,18,2013,2026,178,190,4,140,35.15923307781239,129.05868753329239,부산 부산진구 부전동(약산약국 부근),부산광역시,부산진구,약국,True,1.0,190.0,4.0
5808,14,28,2013,2026,182,182,15,150,35.135446971199926,129.0905571074033,부산 남구 대연동(못골약국 부근),부산광역시,남구,약국,True,1.0,182.0,15.0
4450,14,27,2013,2026,169,180,8,131,34.8431025403134,128.42163422386716,경남 통영시 태평동(충무데마파트종합상설시장 부근),경상남도,통영시,전통시장,True,1.0,180.0,8.0
5911,14,25,2013,2026,158,159,4,137,36.35047128812496,126.59485354464375,충남 보령시 대천동(큰행복약국 부근),충청남도,보령시,약국,True,1.0,159.0,4.0
5334,14,22,2013,2026,148,158,6,118,35.162325478617866,129.0620714016078,부산 부산진구 부전동(부전사거리 부근),부산광역시,부산진구,교차로·사거리,True,1.0,158.0,6.0
5824,13,22,2013,2026,138,142,0,116,35.21449901811268,129.10522621531356,부산 금정구 서동(서동미로시장 부근),부산광역시,금정구,전통시장,True,0.9285714285714286,131.85714285714286,0.0
6047,13,15,2013,2026,116,126,0,85,37.4996946800604,126.93102624238,서울 동작구 상도동(상도119안전센터 부근),서울특별시,동작구,기타,True,0.9285714285714286,117.0,0.0
1422,13,19,2013,2026,120,122,6,80,37.43129378506389,127.12905531225512,경기 성남시 중원구 성남동(모란역 수인분당선 부근),경기도,성남시 중원구,기타,True,0.9285714285714286,113.28571428571429,5.571428571428571
4848,12,23,2015,2026,124,126,2,110,36.781983253462,127.00408988981526,충남 아산시 온천동(역전삼거리 부근),충청남도,아산시,교차로·사거리,True,0.8571428571428571,108.0,1.7142857142857142
5450,13,19,2013,2026,102,104,7,72,35.56430502362485,126.85395428750088,전북 정읍시 시기동(유한당약국 부근),전북특별자치도,정읍시,약국,True,0.9285714285714286,96.57142857142857,6.5
5417,12,12,2013,2025,96,112,4,78,36.627963311912,127.49113068936909,충북 청주시 상당구 석교동(시장약국 부근),충청북도,청주시 상당구,전통시장,True,0.8571428571428571,96.0,3.4285714285714284
2200,14,17,2013,2026,95,95,4,66,35.96451635760023,128.9380035111973,경북 영천시 완산동(영천공설시장 부근),경상북도,영천시,전통시장,True,1.0,95.0,4.0
1487,13,16,2013,2026,91,97,2,79,37.0063535204985,127.26789045871868,경기 안성시 석정동(기린약국 부근),경기도,안성시,약국,True,0.9285714285714286,90.07142857142857,1.8571428571428572
917,12,17,2014,2026,100,103,7,80,36.78222485796106,126.45853330506422,충남 서산시 동문동(동문동사거리 부근),충청남도,서산시,교차로·사거리,True,0.8571428571428571,88.28571428571428,6.0
5124,13,13,2013,2026,90,92,1,61,37.74039069872116,127.0512993313073,경기 의정부시 의정부동(녹색거리상점가 부근),경기도,의정부시,기타,True,0.9285714285714286,85.42857142857143,0.9285714285714286
397,13,14,2013,2026,89,90,5,79,36.281374918338216,126.90941481313129,충남 부여군 부여읍(두레네약국 부근),충청남도,부여군,약국,True,0.9285714285714286,83.57142857142857,4.642857142857143
455,12,17,2013,2026,93,95,8,72,36.03433543960853,129.36456449112842,경북 포항시 북구 죽도동(문경새재약국 부근),경상북도,포항시 북구,약국,True,0.8571428571428571,81.42857142857143,6.857142857142857
5203,13,13,2014,2026,83,87,0,70,35.80148740395554,126.88462258705239,전북 김제시 요촌동(전통시장사거리 부근),전북특별자치도,김제시,전통시장,True,0.9285714285714286,80.78571428571429,0.0
1017,12,14,2014,2026,91,94,0,81,35.20456238777486,128.57665064583364,경남 창원시 마산합포구 동성동(편한약국 부근),경상남도,창원시 마산합포구,약국,True,0.8571428571428571,80.57142857142857,0.0
5694,12,15,2014,2026,86,88,4,70,36.11726445977447,128.1235329000521,경북 김천시 황금동(황금먹거리시장 부근),경상북도,김천시,전통시장,True,0.8571428571428571,75.42857142857143,3.4285714285714284
4071,12,16,2013,2026,80,87,8,63,35.09161485230475,129.04344130590482,부산 영도구 봉래동3가(봉래교차로 부근),부산광역시,영도구,교차로·사거리,True,0.8571428571428571,74.57142857142857,6.857142857142857
5503,10,10,2014,2026,95,104,5,78,37.5783473827147,127.03829897210751,서울 동대문구 제기동(경동시장교차로 부근),서울특별시,동대문구,전통시장,True,0.7142857142857143,74.28571428571429,3.5714285714285716
3793,13,14,2013,2026,79,80,2,65,36.89321015991736,126.62994619537665,충남 당진시 읍내동(당진시장오거리 부근),충청남도,당진시,전통시장,True,0.9285714285714286,74.28571428571429,1.8571428571428572
2826,12,13,2013,2026,78,86,6,64,35.227881218335924,128.883053510492,경남 김해시 부원동(중앙지구대 부근),경상남도,김해시,기타,True,0.8571428571428571,73.71428571428571,5.142857142857142
4196,12,16,2013,2026,83,86,4,63,36.33074574410288,127.43268328164056,대전 동구 중동(대전역네거리 부근),대전광역시,동구,기타,True,0.8571428571428571,73.71428571428571,3.4285714285714284
1482,13,16,2014,2026,77,79,3,50,37.53926254215681,127.20564650430413,경기 하남시 신장동(지에스약국 부근),경기도,하남시,약국,True,0.9285714285714286,73.35714285714286,2.7857142857142856
5438,12,12,2013,2026,82,84,2,69,36.075338140676166,126.68787428657,충남 서천군 서천읍(시장약국 부근),충청남도,서천군,전통시장,True,0.8571428571428571,72.0,1.7142857142857142
